"IdNormativaRef";"IdNorActual";"IdNorAnterior";"TipoRef"
565;1210;1166;2
566;1217;1163;2
567;1219;798;2
568;1220;408;2
569;1221;348;2
570;1223;1108;2
571;1224;1108;3
572;1224;1223;3
573;1227;1144;2
574;1227;1145;2
575;1227;1161;2
576;747;675;1
578;1228;747;2
579;1228;810;2
581;1228;1205;2
583;1228;1206;1
584;1228;1143;2
585;1229;747;3
586;1229;810;3
587;1229;1142;3
588;1229;1205;3
589;1229;1228;3
590;1231;1163;2
591;1234;26;2
592;1234;910;2
593;1234;911;1
594;1235;26;3
595;1235;910;3
596;1235;1234;3
597;1241;1191;2
598;1242;1189;3
599;1242;1241;3
600;1247;7;1
601;1247;743;1
602;1247;744;1
603;1251;896;1
604;1251;1199;1
605;1252;371;2
606;1252;598;2
607;1252;634;2
608;1252;832;2
609;1252;857;2
610;1252;858;1
611;1253;371;3
612;1253;598;3
613;1253;634;3
614;1253;832;3
615;1253;857;3
616;1253;1252;3
617;1254;756;2
618;1254;894;2
619;1254;895;1
620;1255;756;3
621;1255;894;3
622;1255;1254;3
623;1256;57;2
624;1257;57;3
625;1257;1256;3
626;1258;594;1
627;1260;1123;4
628;1261;1125;4
629;1262;1127;4
630;1267;1129;1
631;1270;631;2
632;1270;1039;2
633;1270;1040;1
634;1271;631;3
635;1271;1039;3
636;1271;1270;3
637;1272;673;3
639;197;17;4
642;282;17;1
643;789;563;3
644;1089;745;1
645;1273;1089;1
648;1201;1151;2
649;1274;539;1
650;1277;891;2
651;1278;891;3
652;1278;1277;3
653;1192;1191;6
654;1243;1192;2
655;1243;1191;6
656;1243;1241;6
657;1243;1242;6
658;1280;1191;2
661;1280;1241;2
662;1280;1242;1
663;1272;1280;3
664;1280;673;2
665;1281;1189;3
666;1281;1244;3
667;1281;1280;3
668;1283;1146;2
669;1283;1151;2
670;1283;1201;2
671;1284;1190;2
673;126;15;2
674;127;15;2
675;127;126;2
676;132;15;2
677;132;126;2
678;132;127;2
679;415;15;1
680;415;126;1
681;415;127;1
682;415;132;1
683;540;415;6
684;585;540;2
685;585;415;6
686;618;540;2
687;618;585;2
688;618;415;6
689;716;540;2
690;716;585;2
691;716;618;2
692;716;415;6
693;773;540;2
694;773;585;2
695;773;618;2
696;773;716;2
697;773;415;6
698;795;540;1
699;795;585;1
700;795;618;1
701;795;716;1
702;795;773;1
703;796;795;6
704;852;796;2
705;852;795;6
706;852;851;6
707;885;796;2
708;885;852;2
709;885;795;6
710;885;851;6
711;944;796;2
712;944;852;2
713;944;885;2
714;944;795;6
715;944;851;6
716;999;796;2
717;999;852;2
718;999;885;2
719;999;944;2
720;999;795;6
721;999;851;6
722;1053;796;2
723;1053;852;2
724;1053;885;2
725;1053;944;2
726;1053;999;2
727;1053;795;6
728;1053;851;6
